issn_input_cr,title_cr,publisher_cr,total_dois_cr
2077-4907,Law Democracy & Development,Academy of Science of South Africa,168
0855-1502,Legon Journal of the Humanities,African Journals Online,100
2458-746X,Legon Journal of the Humanities,African Journals Online,100
2437-0568,NA,NA,NA
1012-0009,NA,NA,NA
1684-4904,Lexikos,Stellenbosch University - Lexikos,343
2224-0039,NA,NA,NA
1993-2820,Libyan Journal of Medicine,Informa UK (Taylor & Francis),621
1819-6357,Libyan Journal of Medicine,Informa UK (Taylor & Francis),621
1662-2510,Madagascar Conservation & Development,African Journals Online,180
1816-6822,Makerere Journal of Higher Education,African Journals Online,167
2707-6113,NA,NA,NA
1995-7262,Malawi Medical Journal,African Journals Online,579
0047-651X,Medical Journal of Zambia,African Journals Online,33
2346-7126,NA,NA,NA
1998-9881,Mizan Law Review,African Journals Online,192
2309-902X,NA,NA,NA
2073-073X,Momona Ethiopian Journal of Science,African Journals Online,212
2220-184X,NA,NA,NA
0300-368X,Nigeria Agricultural Journal,African Journals Online,237
1596-0862,Nigeria Journal of Pure and Applied Physics,African Journals Online,61
1597-4292,NA,NA,NA
0794-5698,Nigerian Journal of Basic and Applied Sciences,African Journals Online,307
0189-1731,Nigerian Journal of Biotechnology,African Journals Online,236
1119-0221,Nigerian Journal of Chemical Research,African Journals Online,78
1119-3077,Nigerian Journal of Clinical Practice,Medknow Publications,1526
0189-9171,Nigerian Journal of Ophthalmology,Medknow Publications,341
2468-8363,NA,NA,NA
0302-4660,Nigerian Journal of Paediatrics,African Journals Online,520
0794-859X,Nigerian Journal of Physiological Sciences,African Journals Online,134
1117-6806,Nigerian Journal of Surgery,Medknow Publications,224
0189-9546,Nigerian Journal of Technological Development,African Journals Online,149
2437-2110,Nigerian Journal of Technological Development,African Journals Online,149
0331-8443,Nigerian Journal of Technology,African Journals Online,1017
2467-8821,Nigerian Journal of Technology,African Journals Online,1017
0331-3026,Nigerian Veterinary Journal,African Journals Online,364
2276-7371,NA,NA,NA
1597-474X,OGIRISI a New Journal of African Studies,African Journals Online,161
2226-4485,Open Veterinary Journal,ScopeMed,400
2218-6050,Open Veterinary Journal,ScopeMed,400
0529-191X,NA,NA,NA
2304-8239,NA,NA,NA
1937-8688,Pan African Medical Journal,Pan African Medical Journal,8161
1727-3781,Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,Academy of Science of South Africa,1377
2224-3534,Research in Hospitality Management,Informa UK (Taylor & Francis),248
2415-5152,Research in Hospitality Management,Informa UK (Taylor & Francis),248
